,Unnamed: 0.1,Unnamed: 0,links,names,ratings,price for two,cuisine,area,final_reviews,area_list,cuisine_list
10,10,10,https://www.zomato.com/bangalore/no-limmits-lounge-and-club-brigade-road-bangalore,No Limmits Lounge And Club,3.8,"₹2,500 for two",chinese continental north indian fast food pizza beverages,brigaderoad,worth price best club highly recommended best dance place great dance floor good pubtenders live performance event best dj perfect dance affordable night club energetic djs enter dance,Brigade Road,"Chinese, Continental, North Indian, Fast Food, Pizza, Beverages"
11,11,11,https://www.zomato.com/bangalore/long-boat-brewing-co-marathahalli-bangalore,Long Boat Brewing Co.,4.2,"₹2,600 for two",asian chinese north indian pizza south indian continental,marathahalli,amazing vibe huge place great host variety pizza ambience super cool good wifi service good ambience amazing friendly helpful exceptional accommodate,Marathahalli,"Asian, Chinese, North Indian, Pizza, South Indian, Continental"
12,12,12,https://www.zomato.com/bangalore/secret-story-indiranagar-bangalore,Secret Story,4.0,"₹1,500 for two",continental asian north indian fast food desserts beverages,indiranagar,staff behaviour excellent best service yummy dishes professional service fancy place ambience super cool amazing music staff friendly extraordinary service fabulous friendly flaw dj friendly ambience friendly bipal friendly recommend excellent service,Indiranagar,"Continental, Asian, North Indian, Fast Food, Desserts, Beverages"
13,13,13,https://www.zomato.com/bangalore/oia-3-hennur-bangalore,Oia,4.1,"₹2,500 for two",continental asian seafood salad pizza north indian desserts,hennur,huge place service charges great vibe great atmosphere best ambience good environment great service love ambience good ambience visit ambience service manish ambience service service good good service felt service family sitting,Hennur,"Continental, Asian, Seafood, Salad, Pizza, North Indian, Desserts"
14,14,14,https://www.zomato.com/bangalore/street-storyss-indiranagar-bangalore,Street Storyss,4.6,"₹2,500 for two",north indian chinese street food desserts beverages,indiranagar,innovative fusion food unique offerings amazing food experience gastronomical experience unique menu ambience nice great ambience,Indiranagar,"North Indian, Chinese, Street Food, Desserts, Beverages"
15,15,15,https://www.zomato.com/bangalore/ironhill-bengaluru-marathahalli-bangalore,Ironhill Bengaluru,4.5,"₹2,000 for two",north indian continental asian pizza fast food biryani beverages desserts,marathahalli,great outdoor seating service staff staff polite dj amazing food good good service provider service good excellent service good ambience exceptional service,Marathahalli,"North Indian, Continental, Asian, Pizza, Fast Food, Biryani, Beverages, Desserts"
16,16,16,https://www.zomato.com/bangalore/bramble-jayanagar-bangalore,Bramble,4.5,"₹1,800 for two",continental asian north indian italian bar food beverages,jayanagar,rooftop view amazing view nice view pubtender variety pizza great host live music rooftop view ambience great amazing ambience ambience try friendly staff friendly rooftop family rooftop,Jayanagar,"Continental, Asian, North Indian, Italian, Bar Food, Beverages"
17,17,17,https://www.zomato.com/bangalore/roxie-sarjapur-road-bangalore,Roxie,4.6,"₹2,600 for two",continental asian north indian european american italian pizza beverages,sarjapur,ambience delightful great vibes great host singer exceptional service warm hospitality love ambience tarif service live music good service family interiors good ambience,Sarjapur,"Continental, Asian, North Indian, European, American, Italian, Pizza, Beverages"
18,18,18,https://www.zomato.com/bangalore/magique-koramangala-6th-block-bangalore,Magique,3.8,"₹1,700 for two",asian modern indian continental italian north indian sushi desserts beverages,koramangala,yummy dishes great host good vibes comfort food variety pizza wonderful service longest rooftop largest rooftop friendly helpful,Koramangala,"Asian, Modern Indian, Continental, Italian, North Indian, Sushi, Desserts, Beverages"
19,19,19,https://www.zomato.com/bangalore/koko-airport-road-bangalore,KOKO,4.4,"₹3,500 for two",asian sushi desserts chinese beverages,oldairportroad, service notch great service experience ambience impeccable service,Old Airport Road,"Asian, Sushi, Desserts, Chinese, Beverages"
20,20,20,https://www.zomato.com/bangalore/phurr-jayanagar-bangalore,Phurr,4.2,"₹2,000 for two",north indian continental,jayanagar, good service good ambience,Jayanagar,"North Indian, Continental"
21,21,21,https://www.zomato.com/bangalore/maffei-kitchen-1-koramangala-5th-block-bangalore,Maffei Kitchen,4.7,"₹1,700 for two",lebanese greek moroccan desserts beverages,koramangala,beautiful ambience elaborate menu amazing food fresh food good quality staff service staff,Koramangala,"Lebanese, Greek, Moroccan, Desserts, Beverages"
22,22,22,https://www.zomato.com/bangalore/uru-brewpark-jp-nagar-bangalore,Uru Brewpark,4.3,"₹2,200 for two",continental north indian italian chinese asian pizza lebanese beverages,jpnagar,servers friendly value money food decor excellent kid friendly good pubtenders ambience lovely ambience great family right friendly feel friendly mango family ambience,JP Nagar,"Continental, North Indian, Italian, Chinese, Asian, Pizza, Lebanese, Beverages"
23,23,23,https://www.zomato.com/bangalore/ambedo-kitchen-taproom-jp-nagar-bangalore,Ambedo Kitchen|Taproom,4.5,"₹1,500 for two",continental asian north indian italian pizza sushi,jpnagar,ambience service food portion size amazing ambience beautiful ambience staff friendly visit family,JP Nagar,"Continental, Asian, North Indian, Italian, Pizza, Sushi"
24,24,24,https://www.zomato.com/bangalore/nusa-varthur-main-road-whitefield-bangalore,Nusa,3.8,"₹1,500 for two",north indian asian continental european south indian indonesian bar food finger food,whitefield, live music ambience good ambience service,Whitefield,"North Indian, Asian, Continental, European, South Indian, Indonesian, Bar Food, Finger Food"
25,25,25,https://www.zomato.com/bangalore/mayuri-1-jp-nagar-bangalore,Mayuri,4.5,"₹1,200 for two",andhra biryani north indian chinese desserts,jpnagar,staff service seating options good portion size parking space family crowd elaborate menu family visit,JP Nagar,"Andhra, Biryani, North Indian, Chinese, Desserts"
26,26,26,https://www.zomato.com/bangalore/blr-brewing-co-1-whitefield-bangalore,BLR Brewing Co,New,"₹1,500 for two",north indian continental chinese italian bbq bar food desserts,whitefield, ambience great great ambience great service service recommend good service ambience good dinner date exceptional service date family,Whitefield,"North Indian, Continental, Chinese, Italian, BBQ, Bar Food, Desserts"
27,27,27,https://www.zomato.com/bangalore/2-moons-mg-road-bangalore,2 MOONS,4.3,"₹2,100 for two",modern indian continental asian,mgroad, great ambience perfect date ambience restaurant,MG Road,"Modern Indian, Continental, Asian"
28,28,28,https://www.zomato.com/bangalore/mykos-craft-kitchen-bar-bannerghatta-road-bangalore,Mykos Craft Kitchen & Bar,4.3,"₹1,600 for two",continental greek asian mediterranean north indian,bannerghatta, fast service,Bannerghatta,"Continental, Greek, Asian, Mediterranean, North Indian"
29,29,29,https://www.zomato.com/bangalore/skydeck-by-sherlocks-mg-road-bangalore,SkyDeck By Sherlock's,4.0,"₹1,800 for two",continental chinese finger food north indian fast food beverages desserts,mgroad,historic decor zomato gold options themed pub fireplace staff politeness amazing vibe fancy cocktails,MG Road,"Continental, Chinese, Finger Food, North Indian, Fast Food, Beverages, Desserts"
30,30,30,https://www.zomato.com/bangalore/one8-commune-lavelle-road-bangalore,One8 Commune,3.9,"₹3,000 for two",north indian chinese pasta sushi continental desserts beverages,lavelleroad, quick service fast service family kind family good,Lavelle Road,"North Indian, Chinese, Pasta, Sushi, Continental, Desserts, Beverages"
31,31,31,https://www.zomato.com/bangalore/miso-sexy-indiranagar-bangalore,Miso Sexy,4.4,"₹1,800 for two",japanese chinese sushi beverages,indiranagar,great vibe amazing vibe great host good vibe good menu helpful staff great service ambience great great ambience good service good ambience,Indiranagar,"Japanese, Chinese, Sushi, Beverages"
32,32,32,https://www.zomato.com/bangalore/sky-garden-whitefield-bangalore,Sky Garden,4.1,"₹2,000 for two",continental north indian pizza asian pasta chinese desserts beverages,whitefield,rooftop dining themed pub good menu ambiance music affordable cordial staff indoor outdoor buffet pub cocktails mocktails premium pub pub whitefield range cocktails best rooftop regular dj,Whitefield,"Continental, North Indian, Pizza, Asian, Pasta, Chinese, Desserts, Beverages"
33,33,33,https://www.zomato.com/bangalore/macaw-by-stories-bommanahalli-bangalore,Macaw By Stories,4.2,"₹1,000 for two",south indian north indian chinese pasta pizza fast food salad desserts,hosurroad,great host hookah live music great music vibe dj pet friendly,Hosur Road,"South Indian, North Indian, Chinese, Pasta, Pizza, Fast Food, Salad, Desserts"
34,34,34,https://www.zomato.com/bangalore/stories-brewery-kitchen-btm-bangalore,Stories Brewery & Kitchen,4.4,"₹1,800 for two",north indian continental chinese finger food beverages desserts,btm,superb food great service everthing perfect loved ambience live entertainment nice ambience nice crowd good pubtenders ambience service family savor,BTM,"North Indian, Continental, Chinese, Finger Food, Beverages, Desserts"
35,35,35,https://www.zomato.com/bangalore/hard-rock-cafe-st-marks-road,Hard Rock Cafe,4.8,"₹2,500 for two",american continental burger sandwich fast food desserts beverages,st.marksroad,live band performance rock music best music classy place lovely music awesome music rock music ambience music visit ambience excellence music excellent service family band,St. Marks Road,"American, Continental, Burger, Sandwich, Fast Food, Desserts, Beverages"
36,36,36,https://www.zomato.com/bangalore/float-brewery-kalyan-nagar-bangalore,Float Brewery,4.5,"₹1,500 for two",bar food continental italian asian north indian desserts pizza beverages,kalyannagar,music ambience live entertainment good pricing live sports screening service charges rooftop place live music rooftop best service good wooden ambience atmosphere rooftop rooftop area,Kalyan Nagar,"Bar Food, Continental, Italian, Asian, North Indian, Desserts, Pizza, Beverages"
37,37,37,https://www.zomato.com/SarjapurSocial,Sarjapur SOCIAL,4.4,"₹1,000 for two",north indian chinese biryani pasta burger pizza desserts beverages,sarjapur,cover charge fairly priced beers black tie crowd great dance floor great dj service great fast love ambience dj dance,Sarjapur,"North Indian, Chinese, Biryani, Pasta, Burger, Pizza, Desserts, Beverages"
38,38,38,https://www.zomato.com/bangalore/foo-brigade-road-brigade-road-bangalore,Foo Brigade Road,4.6,"₹2,000 for two",chinese sushi asian japanese desserts,ashoknagar,great recommendations great hospitality beautiful ambience outdoor seating host elaborate menu great service service ambience beautiful ambience good service experience service excellent service encounter date,Ashok Nagar,"Chinese, Sushi, Asian, Japanese, Desserts"
39,39,39,https://www.zomato.com/bangalore/red-rhino-whitefield-bangalore,Red Rhino,4.4,"₹2,000 for two",continental north indian asian oriental mediterranean mangalorean beverages desserts,whitefield,live dj music ambience service great polite behaviour valet service rooftop view ,Whitefield,"Continental, North Indian, Asian, Oriental, Mediterranean, Mangalorean, Beverages, Desserts"
40,40,40,https://www.zomato.com/bangalore/muro-church-street-bangalore,Muro,4.1,"₹3,000 for two",thai cantonese,churchstreet, ,Church Street,"Thai, Cantonese"
41,41,41,https://www.zomato.com/bangalore/butterfly-brew-bite-fly-jp-nagar-bangalore,Butterfly Brew Bite & Fly,4.2,"₹1,500 for two",north indian continental pizza italian asian desserts beverages,jpnagar,great dj amazing vibe great vibe live music good vibe beautiful place good service moderate gastropub brewery pub service crowd,JP Nagar,"North Indian, Continental, Pizza, Italian, Asian, Desserts, Beverages"
42,42,42,https://www.zomato.com/bangalore/board-4-bored-basavanagudi-bangalore,Board 4 Bored,4.1,"₹1,000 for two",chinese sandwich continental italian beverages pizza pasta,basavanagudi, friendly staff,Basavanagudi,"Chinese, Sandwich, Continental, Italian, Beverages, Pizza, Pasta"
43,43,43,https://www.zomato.com/bangalore/taproom-by-sherlocks-jp-nagar-bangalore,Taproom By Sherlock's,4.3,"₹1,800 for two",north indian oriental continental biryani pizza pasta desserts beverages,jpnagar,staff politeness good food good ambience service great attentive staff affordable price excellent experience ambience music ambience service service great,JP Nagar,"North Indian, Oriental, Continental, Biryani, Pizza, Pasta, Desserts, Beverages"
44,44,44,https://www.zomato.com/bangalore/feast-sheraton-grand-bangalore-hotel-at-brigade-gateway-malleshwaram-bangalore,Feast - Sheraton Grand Bangalore Hotel at Brigade Gateway,4.2,"₹3,500 for two",north indian continental fast food asian beverages,malleshwaram,cooking stations sophisticated worth price good service good quality service great excellent food service fine dining experience delicious desserts ,Malleshwaram,"North Indian, Continental, Fast Food, Asian, Beverages"
45,45,45,https://www.zomato.com/bangalore/byg-brewski-brewing-company-sarjapur-road-bangalore,Byg Brewski Brewing Company,4.6,"₹2,000 for two",continental north indian asian fast food pizza pasta burger desserts,sarjapur,nice place ambience great great service food poolside view pool side seating awesome vibes romatic ambience ambience good family couple,Sarjapur,"Continental, North Indian, Asian, Fast Food, Pizza, Pasta, Burger, Desserts"
46,46,46,https://www.zomato.com/bangalore/kling-brewery-church-street-bangalore,Kling Brewery,4.2,"₹1,500 for two",continental european asian chinese north indian south indian seafood,churchstreet, friendly opulent family reunion,Church Street,"Continental, European, Asian, Chinese, North Indian, South Indian, Seafood"
47,47,47,https://www.zomato.com/bangalore/the-black-pearl-kadubeesanahalli-bangalore,The Black Pearl,4.2,"₹2,100 for two",bbq north indian biryani,marathahalli,nice foods great service cost effective nice serve live singing live music performance singer good service family ambience friendly polite friendly mannered family nasibul excellent service,Marathahalli,"BBQ, North Indian, Biryani"
48,48,48,https://www.zomato.com/bangalore/bhangra-bistro-indiranagar-bangalore,Bhangra Bistro,4.2,"₹1,000 for two",north indian mughlai desserts,indiranagar, good music friendly staff falooda service ambience theme,Indiranagar,"North Indian, Mughlai, Desserts"
49,49,49,https://www.zomato.com/bangalore/biergarten-whitefield,Biergarten,4.6,"₹2,500 for two",continental european bbq chinese asian beverages,whitefield,best quality food service beer garden service staff variety selection food awesome live band performance service prompt great ambience good service fantastic service,Whitefield,"Continental, European, BBQ, Chinese, Asian, Beverages"
50,50,50,https://www.zomato.com/bangalore/hokkaido-japanese-korean-restaurants-indiranagar-bangalore,Hokkaido Japanese & Korean Restaurants,4.2,"₹2,000 for two",japanese korean,indiranagar,elaborate menu ambience fresh food good quality staff experience ,Indiranagar,"Japanese, Korean"
51,51,51,https://www.zomato.com/bangalore/fox-in-the-field-whitefield-bangalore,Fox In The Field,4.2,"₹2,000 for two",modern indian continental north indian pizza american italian desserts beverages,whitefield,good food good quantity ambiance music customizable dishes great vibes rooftop ambience recommend place wonderful service good service favourite ambience good ambience,Whitefield,"Modern Indian, Continental, North Indian, Pizza, American, Italian, Desserts, Beverages"
52,52,52,https://www.zomato.com/bangalore/daddy-indiranagar-bangalore,Daddy,4.3,"₹1,700 for two",continental north indian asian italian chinese european bar food beverages,indiranagar,great ambience tasty food good food good ambience ambience lovely vintage decor live entertainment must visit place great ambience service mr good service experience ambience dance cos,Indiranagar,"Continental, North Indian, Asian, Italian, Chinese, European, Bar Food, Beverages"
53,53,53,https://www.zomato.com/bangalore/tyd-1-hennur-bangalore,TYD,4.4,"₹1,900 for two",asian european sushi continental italian mexican beverages desserts,hennur,amazing place nice ambience great service great food music staff good ambience ambience service service good ambience nice indoor outdoor fancy cocktails friendly suggestive friendly staff friendly knowledgeable,Hennur,"Asian, European, Sushi, Continental, Italian, Mexican, Beverages, Desserts"
54,54,54,https://www.zomato.com/bangalore/street-1522-sarjapur-road-bangalore,Street 1522,4.3,"₹2,200 for two",north indian asian seafood continental mughlai kebab street food beverages,sarjapur,music ambience ambience super cool great vibe amazing vibe good options exceptional service kid friendly favorite pub favourite hangout friendly harmonious family love,Sarjapur,"North Indian, Asian, Seafood, Continental, Mughlai, Kebab, Street Food, Beverages"
55,55,55,https://www.zomato.com/bangalore/pangeo-brigade-road-bangalore,Pangeo,4.5,"₹3,500 for two",sushi continental mediterranean pizza pasta north indian desserts asian,ashoknagar,wonderful service amazing ambience vibe great ambiance host server ambience good excellent service good ambience friendly demeanor experience ambience,Ashok Nagar,"Sushi, Continental, Mediterranean, Pizza, Pasta, North Indian, Desserts, Asian"
56,56,56,https://www.zomato.com/bangalore/toit-indiranagar,Toit,4.9,"₹2,500 for two",italian american european continental desserts,indiranagar,crowded ambience live band performance excellent decor wooden interiors best pub classy ambience great ambience english pub,Indiranagar,"Italian, American, European, Continental, Desserts"
57,57,57,https://www.zomato.com/bangalore/xoox-brewmill-koramangala-5th-block-bangalore,XOOX Brewmill,4.3,"₹2,500 for two",north indian continental american italian asian modern indian pizza desserts,koramangala,service awesome awesome dj classy ambience music ambience live entertainment classy place irish date,Koramangala,"North Indian, Continental, American, Italian, Asian, Modern Indian, Pizza, Desserts"
58,58,58,https://www.zomato.com/bangalore/tbc-sky-lounge-hsr-bangalore,TBC- Sky Lounge,4.5,"₹1,500 for two",continental italian asian north indian south indian biryani desserts beverages,hsr,sevice food cozy seatings quick prompt service ambience lovely courteous helping staff good food good ambience good service good ambience ambience good service great great ambience friendly demeanor family recommend,HSR,"Continental, Italian, Asian, North Indian, South Indian, Biryani, Desserts, Beverages"
59,59,59,https://www.zomato.com/bangalore/terrace-by-house-of-commons-jp-nagar-bangalore,Terrace By House Of Commons,4.6,"₹2,000 for two",modern indian continental asian chinese north indian seafood bar food beverages,jpnagar,exceptional service variety pizza good vibe great host excellent ambience customizable dishes good service excellent service service staff ambience pretty friendly cocktail favourite ambience,JP Nagar,"Modern Indian, Continental, Asian, Chinese, North Indian, Seafood, Bar Food, Beverages"
60,60,60,https://www.zomato.com/bangalore/cafe-grey-by-dongle-co-indiranagar-bangalore,Cafe Grey By Dongle & Co,4.4,"₹1,200 for two",cafe coffee beverages continental pizza italian salad desserts,indiranagar,amazing vibe excellent location affordable affordable great place family comforting atmosphere ambience super cool service great fabulous service family ambience friendly especially friendly meet friends service,Indiranagar,"Cafe, Coffee, Beverages, Continental, Pizza, Italian, Salad, Desserts"
61,61,61,https://www.zomato.com/bangalore/zodiac-bar-kitchen-brookefield-bangalore,Zodiac Bar & Kitchen,4.3,"₹1,800 for two",continental north indian pizza italian chinese fast food biryani desserts,brookefield,nice environment service great fast great host good vibes good hospitality weekend brunch good service great service,Brookefield,"Continental, North Indian, Pizza, Italian, Chinese, Fast Food, Biryani, Desserts"
62,62,62,https://www.zomato.com/bangalore/shokudo-jayanagar-bangalore,Shokudo,4.0,"₹1,500 for two",japanese thai chinese asian sushi desserts beverages korean,jayanagar, friendly attentive,Jayanagar,"Japanese, Thai, Chinese, Asian, Sushi, Desserts, Beverages, Korean"
63,63,63,https://www.zomato.com/bangalore/boho-brookefield-bangalore,Boho,4.1,"₹2,500 for two",bar food north indian continental asian desserts beverages,brookefield,good dance floor highly recommended jain food options great buffet spread fusion dishes good large groups nice ambience dance best service fast ambience good experience service experience ambience friendly host,Brookefield,"Bar Food, North Indian, Continental, Asian, Desserts, Beverages"
64,64,64,https://www.zomato.com/bangalore/the-weekly-brewhouse-kitchen-5-hosur-road-bangalore,The Weekly Brewhouse & Kitchen,4.4,"₹1,500 for two",continental bar food chinese north indian pasta pizza biryani beverages,hosurroad,host vibe great ambience excellent service great service food service mahendra service good family introducing good ambience,Hosur Road,"Continental, Bar Food, Chinese, North Indian, Pasta, Pizza, Biryani, Beverages"
65,65,65,https://www.zomato.com/bangalore/the-watering-hole-btm-bangalore,The Watering Hole,New,"₹1,400 for two",continental north indian european asian desserts beverages,btm,live music great ambiance awesome place perfect place excellent food excellent service visit family good ambience friendly music,BTM,"Continental, North Indian, European, Asian, Desserts, Beverages"
66,66,66,https://www.zomato.com/bangalore/kari-theory-namma-bar-kitchen-ulsoor-bangalore,Kari Theory - Namma Bar & Kitchen,4.1,"₹3,500 for two",chinese north indian biryani asian fast food beverages,ulsoor,ample seating area family place polite staff concept family crowd chef ambience staff,Ulsoor,"Chinese, North Indian, Biryani, Asian, Fast Food, Beverages"
67,67,67,https://www.zomato.com/bangalore/orah-brew-garden-yelahanka-bangalore,Orah Brew Garden,4.2,"₹1,300 for two",asian continental desserts european modern indian,yelahanka, great ambience good music great service,Yelahanka,"Asian, Continental, Desserts, European, Modern Indian"
68,68,68,https://www.zomato.com/bangalore/geometry-brewery-kitchen-malleshwaram-bangalore,Geometry Brewery & Kitchen,4.2,"₹1,800 for two",chinese north indian italian continental pizza desserts beverages,malleshwaram,good service good food ambience nice variety pizza nice service super service good vibes good service great service,Malleshwaram,"Chinese, North Indian, Italian, Continental, Pizza, Desserts, Beverages"
69,69,69,https://www.zomato.com/bangalore/indian-biere-house-jp-nagar-bangalore,Indian Biere House,4.4,"₹2,500 for two",continental mediterranean north indian asian bar food italian desserts beverages,jpnagar,good food service great vibes lovely service exceptional service great host brilliant service excellent service good service good ambience,JP Nagar,"Continental, Mediterranean, North Indian, Asian, Bar Food, Italian, Desserts, Beverages"
70,70,70,https://www.zomato.com/bangalore/chowman-indiranagar-bangalore,Chowman,4.5,"₹1,400 for two",chinese thai asian seafood sichuan desserts beverages,indiranagar,food service standards filling food quality food tasty appetizers chinese good menu good service great service interesting ambience,Indiranagar,"Chinese, Thai, Asian, Seafood, Sichuan, Desserts, Beverages"
71,71,71,https://www.zomato.com/bangalore/hoot-sarjapur-road,Hoot,4.2,"₹2,000 for two",continental italian north indian beverages,sarjapur,peppy music best dance place pool side seating awesome dj best dj bollywood nights service good dj performance experience ambience great service good service good ambience nice service disappointing dj exceptional service,Sarjapur,"Continental, Italian, North Indian, Beverages"
72,72,72,https://www.zomato.com/bangalore/k-os-thegamebar-koramangala-7th-block-bangalore,K-OS TheGameBar,4.4,"₹1,700 for two",continental italian north indian finger food asian fast food,koramangala,games great place family affordable price best service excellent location fun place friendly welcome friendly suggest,Koramangala,"Continental, Italian, North Indian, Finger Food, Asian, Fast Food"
73,73,73,https://www.zomato.com/bangalore/the-scene-craft-kitchen-bar-jp-nagar-bangalore,The Scene - Craft Kitchen & Bar,4.2,"₹1,500 for two",north indian continental asian desserts beverages,jpnagar,beautiful place hospitality nice ambience great service excellent service nice food service good music good visit family friendly outing friendly secondly friendly staff,JP Nagar,"North Indian, Continental, Asian, Desserts, Beverages"
74,74,74,https://www.zomato.com/bangalore/ministry-of-food-hilton-bangalore-embassy-golflinks-domlur-bangalore,Ministry of Food - Hilton Bangalore Embassy GolfLinks,3.9,"₹3,500 for two",asian continental italian north indian mughlai desserts beverages,domlur,sophisticated worth price pool cozy courteous service live music live music,Domlur,"Asian, Continental, Italian, North Indian, Mughlai, Desserts, Beverages"
75,75,75,https://www.zomato.com/bangalore/oyster-bar-kitchen-hsr-bangalore,Oyster Bar & Kitchen,4.5,"₹1,600 for two",continental bar food chinese north indian beverages desserts,hsr,presentation food good service awesome food star dogs welcome amazing rooftop ambience freshly prepared pet friendly amazing ambience friendly feature good ambience furry service friendly rooftop friendly locate,HSR,"Continental, Bar Food, Chinese, North Indian, Beverages, Desserts"
76,76,76,https://www.zomato.com/bangalore/dhaba-estd-1986-delhi-indiranagar-bangalore,Dhaba - Estd 1986 Delhi,4.2,"₹1,500 for two",north indian mughlai desserts paan,indiranagar,food music dhaba feel service great fast good food good quality themed decor ambience super cool ,Indiranagar,"North Indian, Mughlai, Desserts, Paan"
77,77,77,https://www.zomato.com/bangalore/flo-church-street-bangalore,Flo,4.2,"₹1,900 for two",asian thai continental finger food sushi desserts beverages,churchstreet,amazing food amazing price affordable price affordable affordable affordable pubtender good vibes good service love ambience great ambience service good staff friendly excellent service exceptional service,Church Street,"Asian, Thai, Continental, Finger Food, Sushi, Desserts, Beverages"
78,78,78,https://www.zomato.com/bangalore/the-terrace-at-gillys-redefined-koramangala-4th-block,The Terrace at Gilly's Redefined,4.4,"₹2,000 for two",continental finger food chinese north indian italian beverages desserts,koramangala,kid friendly ambiance great rooftop ambience super ambience service quality food great vibes great hangout great ambience good ambience good dance good music gilly rooftop,Koramangala,"Continental, Finger Food, Chinese, North Indian, Italian, Beverages, Desserts"
79,79,79,https://www.zomato.com/bangalore/nevermind-bar-social-indiranagar-bangalore,Nevermind - Bar & Social,4.1,"₹1,800 for two",bar food north indian chinese continental burger,indiranagar,best quality food service live entertainment privacy comfortable seating lovely ambience new menu date night perfect date amazing ambience dj console,Indiranagar,"Bar Food, North Indian, Chinese, Continental, Burger"
80,80,80,https://www.zomato.com/bangalore/1131-bar-kitchen-by-house-of-commons-indiranagar-bangalore,1131 Bar + Kitchen By House Of Commons,4.5,"₹2,200 for two",finger food north indian continental chinese italian asian desserts beverages,indiranagar,everthing perfect good food good service happy hour menu excellent service food attentive service awesome vibe good service impeccable service great ambience fun ambience friendly helpful,Indiranagar,"Finger Food, North Indian, Continental, Chinese, Italian, Asian, Desserts, Beverages"
81,81,81,https://www.zomato.com/bangalore/hashtag-88-marathahalli-bangalore,Hashtag 88,4.3,"₹1,400 for two",asian chinese salad north indian fast food biryani desserts,marathahalli,good food service best pub good vibe great atmosphere dance floor hookah good service ambience good good ambience glamour dance fantastic service experience music,Marathahalli,"Asian, Chinese, Salad, North Indian, Fast Food, Biryani, Desserts"
82,82,82,https://www.zomato.com/bangalore/plan-b-x-hangover-hsr-bangalore,Plan B X Hangover,4.1,"₹2,000 for two",american burger pizza continental bar food desserts beverages,hsr,hospitality good renovations live entertainment affordable affordable awesome spot hangout pubtender ,HSR,"American, Burger, Pizza, Continental, Bar Food, Desserts, Beverages"
